Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.001,   -0.0011,     0.0000,     0.3290,     0.3290
    0.003,   -0.0032,     0.0000,     0.3288,     0.3288
    0.005,   -0.0054,     0.0000,     0.3286,     0.3286
    0.007,   -0.0075,     0.0000,     0.3284,     0.3284
    0.009,   -0.0097,     0.0000,     0.3283,     0.3283
    0.011,   -0.0119,     0.0000,     0.3281,     0.3281
    0.013,   -0.0140,     0.0000,     0.3279,     0.3279
    0.015,   -0.0162,     0.0000,     0.3277,     0.3277
    0.017,   -0.0174,     0.1925,     0.3275,     0.5040
    0.019,   -0.0174,     0.2101,     0.3273,     0.5200
    0.021,   -0.0175,     0.2103,     0.3271,     0.5200
    0.023,   -0.0175,     0.2106,     0.3269,     0.5200
    0.025,   -0.0175,     0.2108,     0.3267,     0.5200
    0.027,   -0.0176,     0.2110,     0.3265,     0.5200
    0.029,   -0.0176,     0.2113,     0.3263,     0.5200
    0.031,   -0.0176,     0.2115,     0.3261,     0.5200
    0.033,   -0.0177,     0.2117,     0.3258,     0.5200
    0.035,   -0.0177,     0.2120,     0.3256,     0.5200
    0.037,   -0.0178,     0.2122,     0.3254,     0.5200
    0.039,   -0.0178,     0.2124,     0.3252,     0.5200
    0.041,   -0.0178,     0.2127,     0.3250,     0.5200
    0.043,   -0.0179,     0.2129,     0.3247,     0.5200
    0.045,   -0.0179,     0.2132,     0.3245,     0.5200
    0.047,   -0.0180,     0.2134,     0.3243,     0.5200
    0.049,   -0.0180,     0.2137,     0.3241,     0.5200
    0.051,   -0.0181,     0.2139,     0.3238,     0.5200
    0.053,   -0.0181,     0.2142,     0.3236,     0.5200
    0.055,   -0.0182,     0.2144,     0.3234,     0.5200
    0.057,   -0.0182,     0.2147,     0.3231,     0.5200
    0.059,   -0.0182,     0.2149,     0.3229,     0.5200
    0.061,   -0.0183,     0.2152,     0.3227,     0.5200
    0.063,   -0.0183,     0.2155,     0.3224,     0.5200
    0.065,   -0.0184,     0.2157,     0.3222,     0.5200
    0.067,   -0.0184,     0.2160,     0.3219,     0.5200
    0.069,   -0.0185,     0.2163,     0.3217,     0.5200
    0.071,   -0.0185,     0.2165,     0.3214,     0.5200
    0.073,   -0.0186,     0.2168,     0.3212,     0.5200
    0.075,   -0.0186,     0.2171,     0.3209,     0.5200
    0.077,   -0.0187,     0.2174,     0.3207,     0.5200
    0.079,   -0.0187,     0.2176,     0.3204,     0.5200
    0.081,   -0.0188,     0.2179,     0.3202,     0.5200
    0.083,   -0.0188,     0.2182,     0.3199,     0.5200
    0.085,   -0.0189,     0.2185,     0.3197,     0.5200
    0.087,   -0.0189,     0.2188,     0.3194,     0.5200
    0.089,   -0.0190,     0.2191,     0.3191,     0.5200
    0.091,   -0.0190,     0.2194,     0.3189,     0.5200
    0.093,   -0.0191,     0.2196,     0.3186,     0.5200
    0.095,   -0.0192,     0.2199,     0.3183,     0.5200
    0.097,   -0.0192,     0.2202,     0.3180,     0.5200
    0.099,   -0.0193,     0.2205,     0.3178,     0.5200
    0.101,   -0.0193,     0.2209,     0.3175,     0.5200
    0.103,   -0.0194,     0.2212,     0.3172,     0.5200
    0.105,   -0.0195,     0.2215,     0.3169,     0.5200
    0.107,   -0.0195,     0.2218,     0.3166,     0.5200
    0.109,   -0.0196,     0.2221,     0.3163,     0.5200
    0.111,   -0.0196,     0.2224,     0.3160,     0.5200
    0.113,   -0.0197,     0.2227,     0.3158,     0.5200
    0.115,   -0.0198,     0.2231,     0.3155,     0.5200
    0.117,   -0.0198,     0.2234,     0.3152,     0.5200
    0.119,   -0.0199,     0.2237,     0.3149,     0.5200
    0.121,   -0.0200,     0.2240,     0.3145,     0.5200
    0.123,   -0.0200,     0.2244,     0.3142,     0.5200
    0.125,   -0.0201,     0.2247,     0.3139,     0.5200
    0.127,   -0.0202,     0.2251,     0.3136,     0.5200
    0.129,   -0.0203,     0.2254,     0.3133,     0.5200
    0.131,   -0.0203,     0.2258,     0.3130,     0.5200
    0.133,   -0.0204,     0.2261,     0.3127,     0.5200
    0.135,   -0.0205,     0.2265,     0.3123,     0.5200
    0.137,   -0.0206,     0.2268,     0.3120,     0.5200
    0.139,   -0.0206,     0.2272,     0.3117,     0.5200
    0.141,   -0.0207,     0.2275,     0.3113,     0.5200
    0.143,   -0.0208,     0.2279,     0.3110,     0.5200
    0.145,   -0.0209,     0.2283,     0.3107,     0.5200
    0.147,   -0.0210,     0.2287,     0.3103,     0.5200
    0.149,   -0.0211,     0.2290,     0.3100,     0.5200
    0.151,   -0.0211,     0.2294,     0.3096,     0.5200
    0.153,   -0.0212,     0.2298,     0.3093,     0.5200
    0.155,   -0.0213,     0.2302,     0.3089,     0.5200
    0.157,   -0.0214,     0.2306,     0.3085,     0.5200
    0.159,   -0.0215,     0.2310,     0.3082,     0.5200
    0.161,   -0.0216,     0.2314,     0.3078,     0.5200
    0.163,   -0.0217,     0.2318,     0.3074,     0.5200
    0.165,   -0.0218,     0.2322,     0.3071,     0.5200
    0.167,   -0.0219,     0.2326,     0.3067,     0.5200
