Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    0.01,     3.000,     3.000,     0.000,     0.117,     2.883
    0.02,     3.000,     3.000,     0.000,     0.117,     2.883
    0.03,     3.000,     3.000,     0.000,     0.117,     2.883
    0.04,     3.000,     3.000,     0.000,     0.117,     2.883
    0.05,     3.000,     3.000,     0.000,     0.117,     2.883
    0.06,     3.000,     3.000,     0.000,     0.117,     2.883
    0.07,     3.000,     3.000,     0.000,     0.117,     2.883
    0.08,     3.000,     3.000,     0.000,     0.117,     2.883
    0.09,     3.000,     3.000,     0.000,     0.117,     2.883
    0.10,     3.000,     3.000,     0.000,     0.117,     2.883
    0.11,     3.000,     3.000,     0.000,     0.117,     2.883
    0.12,     3.000,     3.000,     0.000,     0.117,     2.883
    0.13,     3.000,     3.000,     0.000,     0.117,     2.883
    0.14,     3.000,     3.000,     0.000,     0.117,     2.883
    0.15,     3.000,     3.000,     0.000,     0.117,     2.883
    0.16,     3.000,     3.000,     0.000,     0.117,     2.883
    0.17,     3.000,     3.000,     0.000,     0.117,     2.883
    0.18,     3.000,     3.000,     0.000,     0.117,     2.883
    0.19,     3.000,     3.000,     0.000,     0.117,     2.883
    0.20,     3.000,     3.000,     0.000,     0.117,     2.883
    0.21,     3.000,     3.000,     0.000,     0.117,     2.883
    0.22,     3.000,     3.000,     0.000,     0.117,     2.883
    0.23,     3.000,     3.000,     0.000,     0.117,     2.883
    0.24,     3.000,     3.000,     0.000,     0.117,     2.883
    0.25,     3.000,     3.000,     0.000,     0.117,     2.883
    0.26,     3.000,     3.000,     0.000,     0.117,     2.883
    0.27,     3.000,     3.000,     0.000,     0.117,     2.883
    0.28,     3.000,     3.000,     0.000,     0.117,     2.883
    0.29,     3.000,     3.000,     0.000,     0.117,     2.883
    0.30,     3.000,     3.000,     0.000,     0.117,     2.883
    0.31,     3.000,     3.000,     0.000,     0.117,     2.883
    0.32,     3.000,     3.000,     0.000,     0.117,     2.883
    0.33,     3.000,     3.000,     0.000,     0.117,     2.883
    0.34,     3.000,     3.000,     0.000,     0.117,     2.883
    0.35,     3.000,     3.000,     0.000,     0.117,     2.883
    0.36,     3.000,     3.000,     0.000,     0.117,     2.883
    0.37,     3.000,     3.000,     0.000,     0.117,     2.883
    0.38,     3.000,     3.000,     0.000,     0.117,     2.883
    0.39,     3.000,     3.000,     0.000,     0.117,     2.883
    0.40,     3.000,     3.000,     0.000,     0.117,     2.883
    0.41,     3.000,     3.000,     0.000,     0.117,     2.883
    0.42,     3.000,     3.000,     0.000,     0.117,     2.883
    0.43,     3.000,     3.000,     0.000,     0.117,     2.883
    0.44,     3.000,     3.000,     0.000,     0.117,     2.883
    0.45,     3.000,     3.000,     0.000,     0.117,     2.883
    0.46,     3.000,     3.000,     0.000,     0.117,     2.883
    0.47,     3.000,     3.000,     0.000,     0.117,     2.883
    0.48,     3.000,     3.000,     0.000,     0.117,     2.883
    0.49,     3.000,     3.000,     0.000,     0.117,     2.883
    0.50,     3.000,     3.000,     0.000,     0.117,     2.883
    0.51,     3.000,     3.000,     0.000,     0.117,     2.883
    0.52,     3.000,     3.000,     0.000,     0.117,     2.883
