Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    0.01,         0.00,     10611.10,        -0.49,         0.00,      5717.76,      4892.99,
    0.02,         0.00,      4884.67,        -0.49,         0.00,      2860.88,      2023.95,
    0.03,         0.00,      3798.75,        -0.49,         0.00,      2247.29,      1551.69,
    0.04,         0.00,      3224.52,        -0.49,        -0.00,      1917.30,      1307.46,
    0.05,         0.00,      2852.82,        -0.49,        -0.00,      1701.62,      1151.47,
    0.06,         0.00,      2586.41,        -0.49,         0.00,      1545.99,      1040.70,
    0.07,         0.00,      2383.17,        -0.49,         0.00,      1426.69,       956.78,
    0.08,         0.00,      2221.44,        -0.49,        -0.00,      1331.39,       890.36,
    0.09,         0.00,      2088.70,        -0.49,         0.00,      1252.95,       836.08,
    0.10,         0.00,      1977.20,        -0.49,        -0.00,      1186.89,       790.64,
    0.11,         0.00,      1881.80,        -0.49,         0.00,      1130.26,       751.88,
    0.12,         0.00,      1798.95,        -0.49,        -0.00,      1081.00,       718.31,
    0.13,         0.00,      1726.13,        -0.49,         0.00,      1037.64,       688.86,
    0.14,         0.00,      1661.45,        -0.49,        -0.00,       999.08,       662.75,
    0.15,         0.00,      1603.51,        -0.49,         0.00,       964.50,       639.39,
    0.16,         0.00,      1551.21,        -0.49,        -0.00,       933.25,       618.33,
    0.17,         0.00,      1503.69,        -0.49,         0.00,       904.85,       599.23,
    0.18,         0.00,      1460.27,        -0.49,         0.00,       878.87,       581.78,
    0.19,         0.00,      1420.39,        -0.49,         0.00,       855.00,       565.78,
    0.20,         0.00,      1383.59,        -0.49,         0.00,       832.96,       551.02,
    0.21,         0.00,      1349.50,        -0.49,         0.00,       812.54,       537.35,
    0.22,         0.00,      1317.80,        -0.49,         0.00,       793.54,       524.65,
    0.23,         0.00,      1288.22,        -0.49,         0.00,       775.81,       512.81,
    0.24,         0.00,      1260.54,        -0.49,         0.00,       759.21,       501.73,
    0.25,         0.00,      1234.57,        -0.49,         0.00,       743.63,       491.34,
    0.26,         0.00,      1210.14,        -0.49,         0.00,       728.97,       481.57,
    0.27,         0.00,      1187.09,        -0.49,         0.00,       715.14,       472.36,
    0.28,         0.00,      1165.31,        -0.49,         0.00,       702.07,       463.65,
    0.29,         0.00,      1144.69,        -0.49,         0.00,       689.69,       455.40,
    0.30,         0.00,      1125.12,        -0.49,         0.00,       677.94,       447.58,
    0.31,         0.00,      1106.51,        -0.49,         0.00,       666.78,       440.15,
    0.32,         0.00,      1088.80,        -0.49,         0.00,       656.15,       433.07,
    0.33,         0.00,      1071.92,        -0.49,         0.00,       646.01,       426.33,
    0.34,         0.00,      1055.79,        -0.49,         0.00,       636.33,       419.88,
    0.35,         0.00,      1040.37,        -0.49,         0.00,       627.07,       413.72,
    0.36,         0.00,      1025.61,        -0.49,         0.00,       618.20,       407.83,
    0.37,         0.00,      1011.46,        -0.49,         0.00,       609.71,       402.17,
    0.38,         0.00,       997.88,        -0.49,         0.00,       601.55,       396.75,
    0.39,         0.00,       984.83,        -0.49,         0.00,       593.72,       391.53,
    0.40,         0.00,       972.28,        -0.49,         0.00,       586.19,       386.52,
    0.41,         0.00,       960.20,        -0.49,         0.00,       578.93,       381.69,
    0.42,         0.00,       948.56,        -0.49,         0.00,       571.95,       377.04,
    0.43,         0.00,       937.34,        -0.49,         0.00,       565.21,       372.56,
    0.44,         0.00,       926.51,        -0.49,         0.00,       558.71,       368.23,
    0.45,         0.00,       916.04,        -0.49,         0.00,       552.42,       364.04,
    0.46,         0.00,       905.92,        -0.49,         0.00,       546.35,       360.00,
    0.47,         0.00,       896.13,        -0.49,         0.00,       540.48,       356.08,
    0.48,         0.00,       886.66,        -0.49,         0.00,       534.79,       352.29,
    0.49,         0.00,       877.48,        -0.49,         0.00,       529.28,       348.62,
    0.50,         0.00,       868.58,        -0.49,         0.00,       523.94,       345.06,
    0.51,         0.00,       859.94,        -0.49,         0.00,       518.76,       341.61,
    0.52,         0.00,       851.56,        -0.49,         0.00,       513.74,       338.26,
    0.53,         0.00,       843.43,        -0.49,         0.01,       508.86,       335.00,
    0.54,         0.00,       835.52,        -0.49,         0.01,       504.11,       331.83,
    0.55,         0.00,       827.83,        -0.49,         0.01,       499.50,       328.76,
    0.56,         0.00,       820.36,        -0.49,         0.01,       495.02,       325.76,
    0.57,         0.00,       813.08,        -0.49,         0.01,       490.66,       322.85,
    0.58,         0.00,       806.00,        -0.49,         0.02,       486.41,       320.01,
    0.59,         0.00,       799.09,        -0.49,         0.02,       482.27,       317.24,
    0.60,         0.00,       792.37,        -0.49,         0.02,       478.24,       314.54,
    0.61,         0.00,       785.81,        -0.49,         0.03,       474.31,       311.91,
    0.62,         0.00,       779.42,        -0.49,         0.03,       470.48,       309.35,
    0.63,         0.00,       773.18,        -0.49,         0.03,       466.74,       306.84,
    0.64,         0.00,       767.08,        -0.49,         0.04,       463.09,       304.40,
    0.65,         0.00,       761.14,        -0.49,         0.05,       459.52,       302.01,
    0.66,         0.00,       755.33,        -0.49,         0.05,       456.04,       299.67,
    0.67,         0.00,       749.65,        -0.49,         0.06,       452.64,       297.39,
    0.68,         0.00,       744.10,        -0.49,         0.07,       449.31,       295.16,
    0.69,         0.00,       738.67,        -0.49,         0.08,       446.06,       292.97,
    0.70,         0.00,       733.36,        -0.49,         0.09,       442.88,       290.84,
    0.71,         0.00,       728.17,        -0.49,         0.10,       439.77,       288.74,
    0.72,         0.00,       723.08,        -0.49,         0.11,       436.72,       286.69,
    0.73,         0.00,       718.11,        -0.49,         0.12,       433.74,       284.68,
    0.74,         0.00,       713.23,        -0.49,         0.14,       430.82,       282.71,
    0.75,         0.00,       708.45,        -0.49,         0.15,       427.96,       280.78,
    0.76,         0.00,       703.77,        -0.49,         0.17,       425.15,       278.89,
    0.77,         0.00,       699.19,        -0.49,         0.19,       422.41,       277.03,
    0.78,         0.00,       694.69,        -0.49,         0.21,       419.71,       275.21,
    0.79,         0.00,       690.28,        -0.49,         0.23,       417.07,       273.42,
    0.80,         0.00,       685.95,        -0.49,         0.25,       414.48,       271.67,
    0.81,         0.00,       681.71,        -0.49,         0.28,       411.94,       269.94,
    0.82,         0.00,       677.54,        -0.49,         0.30,       409.44,       268.25,
    0.83,         0.00,       673.45,        -0.49,         0.33,       406.99,       266.58,
    0.84,         0.00,       669.44,        -0.49,         0.36,       404.58,       264.94,
    0.85,         0.00,       665.50,        -0.49,         0.39,       402.22,       263.33,
    0.86,         0.00,       661.62,        -0.49,         0.42,       399.90,       261.75,
    0.87,         0.00,       657.82,        -0.49,         0.46,       397.62,       260.19,
    0.88,         0.00,       654.08,        -0.49,         0.49,       395.38,       258.66,
